creator_clean,gender,birth_year,match_status
Ponsi Giovanni Benedetto,unknown,,not_found
Kapeller Jean Solomon,unknown,,not_found
Βασιλείου Δ.,unknown,,not_found
Καλογερόπουλος Τρ.,unknown,,not_found
Μαράτος Χ.,unknown,,not_found
Προσαλέντης Σπυρίδων,unknown,,not_found
Lawrence Thomas,male,1992,matched
Ιακωβίδης Γεώργιος,unknown,,not_found
Solimena Francesco,unknown,,not_found
Ιατράς Κωνσταντίνος,unknown,,not_found
Άβλιχος Γεώργιος,unknown,,not_found
Πελεκάσης Σπ.,unknown,,not_found
Μπισκίνης Δ.,unknown,,not_found
Οικονόμου Ιωάννης,unknown,,not_found
Adjitizis E.,unknown,,not_found
Παχής Χαράλαμπος,unknown,,not_found
Δράκος Θ.,unknown,,not_found
Ροϊλός Γεώργιος,unknown,,not_found
Κριεζής Ανδρέας,unknown,,not_found
"Hess, von Peter",unknown,,not_found
Ηλιάδης Κ.,unknown,,not_found
Βαρλάμος Γεώργιος,unknown,,not_found
Πικαρέλλης Αύγουστος,unknown,,not_found
Πιτζέ Φραντζέσκο,unknown,,not_found
Μαργαρίτης Φίλιππος,unknown,,not_found
Renard M. H.,unknown,,not_found
Νικολέσκο Υβόννη,unknown,,not_found
Σούκας Ιωάννης,unknown,,not_found
Ζησιμόπουλος Μ.,unknown,,not_found
Τσοτσώνης Βλάσης,unknown,,not_found
Βρυζάκης Θ.,unknown,,not_found
Kiprenski Oerst,unknown,,not_found
Σούρσος Σ.,unknown,,not_found
Eastlake Charles Locke,unknown,,not_found
"Μυλιώτης , Νικόλαος",unknown,,not_found
Woodhouse John Thomas,unknown,,not_found
"Finden, E.",unknown,,not_found
"Du Moncel, Th., comte, 1821-1884",unknown,,not_found
Krazeisen Karl,unknown,,not_found
Daniell William,unknown,,not_found
Δούκος Ιωάννης,unknown,,not_found
Βαρβέρης Ν.,unknown,,not_found
Άγνωστος,unknown,,not_found
Watts George Frederick,unknown,,not_found
Locatelli Giovan Francesco,unknown,,not_found
Watts George,unknown,,not_found
Γραμμανδάκης Γ.,unknown,,not_found
Τσόχος Κ.,unknown,,not_found
Κονιδάρης Επαμεινώνδας,unknown,,not_found
Ιωαννίδης Ευάγγελος,unknown,,not_found
Robert Louis Léopold,unknown,,not_found
Lefèvre Robert,unknown,,not_found
Pynes James Baker,unknown,,not_found
Durant Carolus,unknown,,not_found
Σκαρλάτος Ιωάννης,unknown,,not_found
Παπαδήμας Γ.,unknown,,not_found
Λύτρας Ν.,unknown,,not_found
Ρουσέας Χρίστος,unknown,,not_found
Ξυδιάς-Τυπάλδος Νικόλαος,unknown,,not_found
